question,optionA,optionB,optionC,optionD,correct,explanation
"Hãy hoàn thành câu : “Xin Cha cho chúng con hôm nay  ... ... ... .” (Mt 6,11)",Được hưởng Nước trời.,Ân sủng và bình an.,Lương thực hằng ngày.,Sự sống vĩnh cửu.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Xin tha tội cho chúng con như chúng con cũng ... ... ... .” (Mt 6,12)",Tha cho những người có lỗi với chúng con.,Tha thứ cho những người xúc phạm đến chúng con.,Được Thiên Chúa tha thứ.,Là con cái của Thiên Chúa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Xin đừng để chúng con sa chước cám dỗ, nhưng ... ... ... .” (Mt 6,13)",Cứu chúng con cho khỏi sự dữ.,Gìn giữ chúng con mọi ngày suốt cuộc đời.,Gìn giữ chúng con khỏi ác thần.,Cứu chúng con khỏi quỷ dữ.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Thật vậy, nếu anh em tha lỗi cho người ta, thì Cha anh em trên trời cũng sẽ tha thứ cho anh em. Nhưng nếu anh em không tha thứ cho người ta, thì ... ... ... .” (Mt 6,14-15)",Anh em sẽ bị ném và hỏa ngục.,Anh em sẽ xa cách mặt Chúa.,Cha anh em cũng sẽ không tha lỗi cho anh em.,Cha anh em sẽ đánh phạt anh em.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi ăn chay, bọn đạo đức giả làm gì? (Mt 6,16)",Làm bộ rầu rĩ.,Làm cho ra vẻ thiểu não.,Làm ra vẻ nghiêm trang.,Chỉ có a và b đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Còn anh, khi ăn chay, nên rửa mặt cho sạch, chải đầu cho thơm, để không ai thấy là anh ăn chay ngoại trừ Cha của anh, Đấng hiện diện nơi kín đáo. Và Cha của anh, Đấng thấu suốt những gì kín đáo, ... ... ... .” (Mt 6,17-18)",Sẽ trả lại cho anh.,Sẽ ban thưởng cho anh em.,Sẽ chúc lành cho anh em.,Sẽ cho anh hưởng phúc thiên đàng.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Anh em đừng tích trữ cho mình những kho tàng ở đâu, nơi mối mọt làm hư nát, và kẻ trộm khoét vách lấy đi? (Mt 6,19)",Trần gian.,Người thế.,Trên trời.,Dưới đất.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Anh em đừng tích trữ cho mình những kho tàng dưới đất, nơi mối mọt làm hư nát, và kẻ trộm khoét vách lấy đi. Nhưng hãy tích trữ cho mình những kho tàng trên trời, nơi thế nào? (Mt 6,19-20)","Dành cho người được Thiên Chúa yêu thương,",Mối mọt không làm hư nát.,Kẻ trộm không khoét vách lấy đi.,Chỉ có b và c đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Kho tàng của anh ở đâu, ... ... ... .” (Mt 6,21)",Thì lòng anh ở đó.,Thì hồn anh ở đó.,Thì diều hâu ở đó.,Thì lòng trí anh ở đó.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đèn của thân thể là gì? (Mt 6,22)",Thân xác.,Linh hồn.,Con mắt.,Con ngươi.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đèn của thân thể là con mắt. Vậy nếu mắt anh sáng, thì thế nào? (Mt 6,22)",Toàn thân anh sẽ sung sướng.,Toàn thân anh sẽ được vinh hạnh.,Toàn thân anh sẽ sáng.,Anh sẽ được hạnh phúc.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đèn của thân thể là con mắt. Còn nếu mắt anh xấu, thì thế nào?(Mt 6,22a-23)",Con người anh sẽ tối tăm.,Toàn thân anh sẽ bị ném vào hỏa ngục.,Toàn thân anh sẽ tối.,Mọi hành động của anh sẽ xấu xa.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Không ai có thể làm tôi hai chủ, vì hoặc sẽ ghét chủ này mà yêu chủ kia, hoặc sẽ gắn bó với chủ này mà khinh dể chủ nọ. Anh em không thể vừa làm tôi Thiên Chúa vừa làm tôi ... ... ... .” (Mt 6,24)",Ma Quỷ được.,Tiền Của được.,Dục vọng được.,Quyền thế được.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Con gì chúng không gieo, không gặt, không thu tích vào kho; thế mà Cha anh em trên trời vẫn nuôi chúng? (Mt 6,26)",Con chồn.,Con cáo.,Chim trời.,Con cá.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu nhắc tới hoa gì ngoài đồng? (Mt 6,28)",Hoa cải,Hoa ly.,Hoa huệ.,Hoa thiên tuế.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu nhắc tới vua nào, dù vinh quang tột bậc, cũng không mặc đẹp bằng hoa huệ ngoài đồng? (Mt 6,29)",Vua Hêrôđê.,Vua Đavít.,Vua Salômôn.,Vua Saun.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em đừng lo lắng về ngày mai: ngày mai, cứ để ngày mai lo. ... ... ... .” (Mt 6,34)",Ngày nào có niềm vui của ngày ấy.,Ngày nào có bổn phận của ngày ấy.,Ngày nào có nhiệm vụ của ngày ấy.,Ngày nào có cái khổ của ngày ấy.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em đừng xét đoán, để ... ... ... .” (Mt 7,1)",Khỏi bị đoán phạt.,Khỏi bị ném vào hỏa ngục.,Khỏi bị Thiên Chúa xét đoán.,Khỏi trở thành đồ chúc dữ trong dân Ítraen.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em đừng xét đoán, để khỏi bị Thiên Chúa xét đoán, vì anh em xét đoán thế nào, thì anh em cũng sẽ bị Thiên Chúa xét đoán như vậy; và anh em đong đấu nào, thì ... ... ... .” (Mt 7,1-2)",Thiên Chúa cũng sẽ đong đấu ấy cho anh em.,Thiên Chúa sẽ trả công bội hậu cho anh em.,Thiên Chúa sẽ ban thưởng Nước Trời cho anh em.,Thiên Chúa sẽ trả lại cho anh em còn hơn thế nữa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Sao anh thấy cái rác trong con mắt của người anh em, mà cái gì trong con mắt của mình thì lại không để ý tới? (Mt 7,3)",Cái rác.,Cái xà.,Cái mụn nhọt.,Hạt cát.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “ ... ... ... . Lấy cái xà ra khỏi mắt anh trước đã, rồi anh sẽ thấy rõ, để lấy cái rác ra khỏi mắt người anh em.” (Mt 7,5)",Hỡi người Pharisêu!,Hỡi các kinh sư!,Hỡi các thầy Lêvi!,Hỡi kẻ đạo đức giả!,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Của thánh, đừng quăng cho con gì? (Mt 7,6)",Heo.,Chó.,Gà.,Dê.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ngọc trai, đừng quăng cho con gì? (Mt 7,6)",Heo.,Chó.,Cá.,Dê.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em cứ xin thì sẽ được, cứ tìm thì sẽ thấy, ... ... ... .” (Mt 7,7)",Cứ cho thì sẽ nhận được.,Cứ gõ cửa thì sẽ mở ra cho.,Cứ gõ thì người ta sẽ mở cho xem.,Cứ thương xót thì sẽ được xót thương.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Vì hễ ai xin thì nhận được, ai tìm thì sẽ thấy, ... ... ... .” (Mt 7,8)",Ai gõ cửa thì sẽ mở ra cho.,Thiên Chúa sẽ ban cho.,Người anh em sẽ mở cửa cho.,Sẽ tìm được sự sống.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Có người nào trong anh em, khi con mình xin cái bánh, mà lại cho nó cái gì? (Mt 7,9)",Cục đất.,Miếng gỗ.,Hòn đá.,Viên sỏi.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Có người nào trong anh em, khi con mình xin cái bánh, mà lại cho nó hòn đá? Hoặc nó xin con cá, mà lại cho nó con gì? (Mt 7,9-10)",Con rắn.,Con chó.,Con gà.,Con heo.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Vậy tất cả những gì anh em muốn người ta làm cho mình, thì chính anh em cũng hãy làm cho người ta, vì ... ... ... .” (Mt 7,12)",Đó là điều Đức Chúa muốn.,Đó là điều phải đạo.,Đó là luật Đức Chúa truyền dạy cho anh em.,Luật Môsê và lời các ngôn sứ là thế đó.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy qua cửa hẹp mà vào, vì cửa rộng và đường thênh thang thì đưa đến đâu? (Mt 7,13)",Sung sướng.,Diệt vong.,Cái chết.,Hạnh phúc.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Hãy qua cửa hẹp mà vào, vì cửa rộng và đường thênh thang thì đưa đến diệt vong, mà nhiều người lại đi qua đó. Còn cửa hẹp và đường chật thì đưa đến sự sống, nhưng ... ... ... .” (Mt 7,13-14)",Dành cho những người yêu mến Thiên Chúa.,Dành cho những ai tuân giữ luật Chúa.,Và hạnh phúc Nước Trời.,Ít người tìm được lối ấy.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Anh em hãy coi chừng ai, họ đội lốt chiên mà đến với anh em; nhưng bên trong, họ là sói dữ tham mồi? (Mt 7,15)",Bọn đạo đức giả.,Các mục tử giả.,Các ngôn sứ giả.,Các kinh sư và biệt phái.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Cứ xem họ sinh hoa quả nào, thì biết họ là ai. Ở bụi gai, làm gì có quả gì mà hái? (Mt 7,16)",Quả lê.,Quả nho.,Quả lựu.,Quả vả.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Cứ xem họ sinh hoa quả nào, thì biết họ là ai. ...  Trên cây găng, làm gì có quả gì mà bẻ? (Mt 7,16)",Quả lê.,Quả nho.,Quả lựu.,Quả vả.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Cây tốt không thể sinh quả xấu, cũng như cây xấu không thể sinh quả tốt. Cây nào không sinh quả tốt, thì bị gì?(Mt 7,18-19)",Cắt tỉa cành.,Chặt đi.,Quăng vào lửa.,Chỉ có b và c đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những ai thi hành ý muốn của Cha Thầy là Đấng ngự trên trời, mới được vào đâu mà thôi? (Mt 7,21)",Đất Hứa.,Nước Trời.,Hỏa Ngục.,Giáo Hội của Chúa Giêsu.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai nghe những lời Thầy nói đây mà đem ra thực hành, thì ví được như người khôn làm gì? (Mt 7,24)",Tích trử của cải trên trời.,Lấy cái tốt từ kho tàng của mình mà sống.,Xây nhà trên đá.,Chăm chỉ thực hành Lời Chúa dạy.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vậy ai nghe những lời Thầy nói đây mà đem ra thực hành, thì ví được như người khôn xây nhà trên đá. Dù điều gì ập vào nhà ấy cũng không sụp đổ, vì đã xây trên nền đá? (Mt 7,24-25)",Mưa sa.,Nước cuốn.,Bão táp.,"Cả a, b và c đúng.",D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Còn ai nghe những lời Thầy nói đây, mà chẳng đem ra thực hành, thì ví được như người ngu dại xây nhà ở đâu? (Mt 7,26)",Bên bờ suối.,Trên cát.,Trên ruộng đồng.,Bên sông.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Còn ai nghe những lời Thầy nói đây, mà chẳng đem ra thực hành, thì ví được như người ngu dại xây nhà trên cát. Gặp điều gì ập vào, nhà ấy sẽ sụp đổ, sụp đổ tan tành? (Mt 7,26-27)",Mưa sa.,Nước cuốn.,Bão táp.,"Cả a, b và c đúng.",D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Thưa Ngài, nếu Ngài muốn, Ngài có thể làm cho tôi được sạch.” Đây là lời của ai? (Mt 8,2)",Người bệnh băng huyết.,Người quỉ ám.,Người phong hủi.,Người bại liệt.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Sau khi được khỏi bệnh, người phong hủi phải đi trình diện với ai và dâng của lễ để làm chứng cho người ta biết? (Mt 8,3-4)",Thượng tế.,Tư tế.,Trưởng hội đường.,Thầy Lêvi.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu chữa cho tên đầy tớ viên đại đội trưởng tại thành nào? (Mt 8,5)",Thành Giêrusalem.,Thành Nadarét.,Thành Caphácnaum.,Thành Samaria.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người đầy tớ, viên đại đội trưởng tại thành Caphácnaum được Chúa Giêsu cứu chữa, bị gì? (Mt 8,6)",Bị sốt.,Bị bệnh hủi.,Bị quỷ ám.,Bị tê bại nằm liệt.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Từ phương đông phương tây, nhiều người sẽ đến dự tiệc cùng các tổ phụ nào trong Nước Trời? (Mt 8,11)",Tổ phụ Giacóp.,Tổ phụ Ixaác.,Tổ phụ Ápraham.,"Cả a, b và c đúng.",D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Từ phương đông phương tây, nhiều người sẽ đến dự tiệc cùng các tổ phụ Ápraham, Ixaác và Giacóp trong Nước Trời. Nhưng con cái Nước Trời thì sẽ bị quăng ra chỗ tối tăm bên ngoài, ở đó người ta sẽ thế nào? (Mt 8,11-12)",Âu sầu đau khổ.,Bị lửa hỏa ngục thiêu đốt.,Phải khóc lóc nghiến răng.,Bị người đời nguyền rủa.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Ông cứ về đi! Ông tin thế nào thì được như vậy!” Lời Chúa Giêsu nói với ai? (Mt 8,13)",Ông trưởng hội đường.,Ông Giai-ia.,Viên đại đội trưởng.,Cha đứa bé bị kinh phong.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu chữa bà mẹ vợ của ai đang nằm liệt và bị sốt? (Mt 8,14)",Ông Anphê.,Ông Lêvi.,Ông Phêrô.,Ông Anrê.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Người đã mang lấy các tật nguyền của ta và gánh lấy các bệnh hoạn của ta.” Lời này từ ngôn sứ nào? (Mt 8,17)",Ngôn sứ Êlia.,Ngôn sứ Mikha.,Ngôn sứ Isaia.,Ngôn sứ Giôna.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Thưa Thầy, Thầy đi đâu, tôi cũng xin đi theo.” Đây là lời của ai nói với Chúa Giêsu? (Mt 8,19)",Thầy Lêvi.,một Kinh sư.,Người Pharisêu.,Người Xađốc.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Con chồn có hang, chim trời có tổ, nhưng ai không có chỗ tựa đầu?(Mt 8,20)",Các môn đệ.,Người nghèo.,Con Người.,Đấng cứu thế.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Một môn đệ khác thưa với Người: ‘Thưa Ngài, xin cho phép con về chôn cất cha con trước đã.” Đức Giêsu bảo thế nào? (Mt 8,21-22)",Người khác sẽ chôn cất cha anh.,": Anh hãy đi theo tôi, cứ để kẻ chết chôn kẻ chết của họ.",": Anh hãy đi theo tôi, cứ để kẻ chết chôn kẻ chết của họ.",Nước Thiên Chúa phải ưu tiên trên hết.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Thưa Ngài, xin cứu chúng con, chúng con chết mất!” Lời các môn đệ kêu xin với Chúa Giêsu khi nào? (Mt 8,24-25)",Khi băng qua miền Samaria.,Khi biển động mạnh khiến sóng ập vào thuyền.,Đối diện với binh lính trong vườn Cây Dầu.,Khi bị người Pharisêu chất vấn.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Tại miền nào, có hai người bị quỷ ám từ trong đám mồ mả ra đón Chúa Giêsu? (Mt 8,28)",Miền Samari.,Miền Gađara.,Miền Giuđê.,Miền Galilê.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người bị quỷ ám gọi Chúa Giêsu là Con của ai? (Mt 8,28)",Con Đấng Tối Cao.,Con Người.,Con Thiên Chúa.,Con vua Đavít.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Bọn quỷ xin Chúa Giêsu nhập vào bầy gì? (Mt 8,31)",Bầy chiên.,Bầy heo.,Bầy dê.,Bầy gà.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi biết cả bầy heo lao xuống biển, cả thành ra đón Chúa Giêsu, họ có thái độ gì với Chúa Giêsu? (Mt 8,33-34)",Họ xin Người ở với họ 2 ngày.,Họ xin Người chữa lành cho các bệnh nhân.,Họ xin Người chữa lành cho các bệnh nhân.,Họ xin Người rời khỏi vùng đất của họ.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi nghe Chúa Giêsu nói “Này con, cứ yên tâm, con đã được tha tội rồi!” Ai nghĩ thầm: “Ông này nói phạm thượng.”? (Mt 9,2-3)",Các kinh sư.,Người Pharisieu,Các môn đệ.,Nhóm Thượng Tế.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi chứng kiến việc Chúa Giêsu chữa cho người bại liệt, dân chúng có thái độ gì? (Mt 9,6-8)",Sợ hãi và tôn vinh Thiên Chúa.,Vui mừng và tôn vinh Thiên Chúa,Sợ hãy và chạy trốn.,Ngạc nhiên và cảm tạ Thiên Chúa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Tại trạm thu thuế, Chúa Giêsu đã kêu gọi ai theo Ngài? (Mt 9,9)",Ông Lê-vi,Ông Mátthêu.,Ông Gia-kêu,Ông Ladazô,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã nói với các môn đệ “Sao Thầy các anh lại ăn uống với bọn thu thuế, và quân tội lỗi như vậy?”? (Mt 9,11)",Người Pharisêu.,Dân chúng,Các thượng tế,Nhóm Hê-rô-đê.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Người khoẻ mạnh không cần thầy thuốc, ... ... ... .” (Mt 9,12)",Người tội lỗi mới cần.,Người đau ốm mới cần.,Người đau ốm mới cần.,Hết tất cả mọi người đều cần.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : Hãy về học cho biết ý nghĩa của câu này: “Ta muốn lòng nhân chứ đâu cần lễ tế. Vì tôi không đến để kêu gọi người công chính,  ... ... ... .” (Mt 9,13)",Để kêu gọi dân ngoại chưa biết Chúa.,Để kêu gọi người thánh thiện.,Mà để kêu gọi người tội lỗi.,Để kêu gọi hết tất cả mọi người.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Các môn đệ của ai đến hỏi Chúa Giêsu: “Tại sao chúng tôi và các người Pharisêu ăn chay, mà môn đệ ông lại không ăn chay?”? (Mt 9,14)",Môn đệ của Chúa Giêsu.,Các môn đệ của ông Gioan.,Môn đệ của nhóm Biệt Phái.,Môn đề của các thượng tế.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người ta cũng không đổ rượu mới vào bầu da cũ, vì như vậy, bầu sẽ bị nứt: rượu chảy ra và bầu cũng hư. Nhưng rượu mới thì đổ vào đâu để giữ được cả hai? (Mt 9,17)",Bầu mới.,Bầu bằng bình mới.,Bầu da cũ.,Đổ vào chum.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Con gái tôi vừa mới chết. Nhưng xin Ngài đến đặt tay lên cháu, là nó sẽ sống.” Đây là lời của ai nói với Chúa Giêsu? (Mt 9,18)",Một người lính,Một người dân,Một kinh sư,Một vị thủ lãnh.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Tôi chỉ cần sờ được vào áo của Người thôi là sẽ được cứu!” Đây là suy nghĩ của ai? (Mt 9,21)",Người phong cùi.,Ông trưởng Hội đường.,Người đàn bà bị băng huyết.,Một người bị tàn tật.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Này con, cứ yên tâm, lòng tin của con đã cứu chữa con.” Đây là lời của Chúa Giêsu nói với ai? (Mt 9,22)",Người đàn bà bị băng huyết.,Người phong cùi.,Người tội lỗi.,Người đàn bà đang bị sốt.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Lạy Con Vua Đavít, xin thương xót chúng tôi!” Đây là lời của ai nói với Chúa Giêsu? (Mt 9,27)",Hai người bị mù.,Một người mù.,Hai người bị phong cùi.,Người bị điếc.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Lúa chín đầy đồng, mà thợ gặt lại ít. Vậy anh em ... ... ... .” (Mt 9,38)",Hãy xin chủ mùa gặt sai thợ ra gặt lúa về.,Hãy cầu nguyện cho có thêm nhiều tông đồ nhiệt thành.,Hãy xin Chúa Cha ban thêm thợ gặt.,Hãy xin Chúa Giêsu gửi các thiên thần đến gặt lúa về.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu gọi mười hai môn đệ lại, để ban cho các ông quyền trên các thần ô uế, để các ông làm gì? (Mt 10,1)",Trừ các thần ô uế và chữa hết các bệnh hoạn tật nguyền.,Giảng dạy cho muôn dân và làm phép rửa cho mọi người.,Trừ các thần ô uế và chữa hết các bệnh hoạn tật nguyền.,Giảng dạy cho muôn dân và làm phép rửa cho mọi người.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đứng đầu danh sách mười hai Tông Đồ là ai? (Mt 10,2)",Ông Simôn.,Ông Phao-lô,Ông Giu-đa,Ông Gioan,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Mátthêu làm nghề gì? (Mt 10,3)",Trưởng Hội đường.,Nghề đánh cá.,Nghề thu thuế.,Nghề Chăn chiên.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Anphê là thân phụ của ai? (Mt 10,3)",Ông Gioan,Ông Giacôbê.,Ông An-rê,Ông Philipphê,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Simôn thuộc nhóm nào? (Mt 10,4)",Nhóm Quá Khích.,Nhóm biệt phái,Nhóm Sa-đốc,Nhóm dân ngoại.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu sai mười hai ông ấy đi và chỉ thị rằng: Tốt hơn là hãy đến với các con chiên lạc nhà Ítraen. Dọc đường hãy rao giảng thế nào? (Mt 10,5-7)",Nước Trời đã đến gần.,Hãy từ bỏ con đường tội lỗi.,Hãy từ bỏ con đường tội lỗi.,Chúa Giêsu là Đấng Cứu Thế.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu ban cho các môn đệ quyền gì khi sai các ông đi rao giảng?(Mt 10,1.8)",Quyền ra lệch cho các quỷ thần và thiên nhiên. Làm các phép lạ để tôn vinh Thiên Chúa.,"Chữa lành người đau yếu, làm cho kẻ chết sống lại, cho người phong hủi được sạch bệnh, và khử trừ ma quỷ.","Chữa lành người đau yếu, làm cho kẻ chết sống lại, cho người phong hủi được sạch bệnh, và khử trừ ma quỷ.",,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đâu là chỉ thị đừng kiếm những gì khi đi rao giảng? (Mt 10,9)",Đừng kiếm vàng bạc hay tiền giắt lưng.,Đừng kiếm danh vọng và địa vị.,Đừng kiếm chiên bò hay tiền lương.,Đừng kiếm những nhà giàu nơi tựa đầu.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đi đường đừng mang theo những thứ gì? (Mt 10,10)","Đừng mang vợ con, cha mẹ hay người nhà.",Đừng mang theo bạn đồng hành.,"Đừng mang bao bị, đừng mặc hai áo, đừng đi dép hay cầm gậy.","Được mang theo tiền bạc, quần áo và dép.",C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi vào nhà nào, anh em hãy làm gì? (Mt 10,13)",Anh em hãy chào chúc bình an cho nhà ấy.,Chào hỏi chủ nhà và xin phép ở lại.,Rao giảng và chúc lành cho họ.,Kêu gọi họ sám hối và tin vào Đức Giêsu.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong Ngày phán xét, đất nào còn được xử khoan hồng hơn những thành không đón tiếp anh em? (Mt 10,14-15)",Đất Xơđôm và Gômôra.,Đất Dơ-vu-lun và Nap-ta-li.,Tia và Caphanaum.,Vùng ven biển và thập tỉnh.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Thầy sai anh em đi như chiên đi vào giữa bầy sói. Vậy anh em phải khôn như rắn và đơn sơ như gì? (Mt 10,16)",Như chiên con,Như nai rừng.,Như bồ câu.,Như chim phượng hoàng.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi người ta nộp anh em, thì anh em đừng lo phải nói làm sao hay phải nói gì, vì trong giờ đó, ai sẽ cho anh em biết phải nói gì? (Mt 10,19)",Thiên Chúa.,Chúa Thánh Thần.,Đấng Cứu Thế.,Đấng Bảo Trợ.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vì danh Thầy, anh em sẽ bị mọi người thù ghét. Nhưng kẻ nào bền chí đến cùng, kẻ ấy thế nào? (Mt 10,22)",Kẻ ấy sẽ được vào hưởng Nước Trời.,Kẻ ấy sẽ được trở nên môn đệ Chúa Giêsu.,Kẻ ấy sẽ bị bách hại vì Thầy.,Kẻ ấy sẽ được cứu thoát.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trò không hơn thầy, tớ không hơn chủ. Trò được như thầy, tớ được như chủ, đã là khá lắm rồi. Chủ nhà mà người ta còn gọi là gì, huống chi là người nhà? (Mt 10,24-25)",Bêendêbun.,Tướng cướp,Phường tội lỗi.,"Tay ăn nhậu, bạn bè quân thu thuế.",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Anh em đừng sợ những kẻ giết thân xác mà không giết được linh hồn. Đúng hơn, anh em hãy sợ Đấng có thể tiêu diệt cả hồn lẫn xác trong đâu? (Mt 10,28)",Trong âm phủ hay cõi âm ty.,Trong hoả ngục.,Trong Thiên đàng,Trong vườn địa đàng.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hai con chim sẻ chỉ bán được bao nhiêu tiền? (Mt 10,29)",Một hào.,Hai hào,Ba  hào,Năm hào,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những ai làm gì thì không xứng với Thầy? (Mt 10,37)",Yêu bản thân và của cải vật chất hơn Thiên Chúa.,"Yêu cha yêu mẹ, yêu con trai con gái hơn Thầy, thì không xứng với Thầy.","Từ bỏ kết những gì mình có, nhưng không vác thập giá mình.",Vác thập giá mình mỗi ngày.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
